feature,importance,abs_importance
num__months_delayed,0.07940115862454565,0.07940115862454565
num__pay_0,0.07035448876669798,0.07035448876669798
num__max_delay,0.06857813605640992,0.06857813605640992
num__utilization_proxy,0.04969808498381815,0.04969808498381815
num__payment_bill_ratio,0.04343579106455968,0.04343579106455968
num__avg_payment,0.043166656946229474,0.043166656946229474
num__bill_amt1,0.039589803018840644,0.039589803018840644
num__avg_bill,0.039333405359811426,0.039333405359811426
num__limit_bal,0.03697040936176707,0.03697040936176707
num__pay_amt1,0.03677404564143145,0.03677404564143145
num__pay_amt2,0.0357067953893287,0.0357067953893287
num__pay_amt3,0.03472808058473189,0.03472808058473189
num__age,0.03454253057788842,0.03454253057788842
num__bill_amt2,0.03441265266127008,0.03441265266127008
num__bill_amt4,0.03280856466214553,0.03280856466214553
num__bill_amt3,0.03272075357344127,0.03272075357344127
num__bill_amt5,0.032624057062999826,0.032624057062999826
num__bill_amt6,0.031686732780899986,0.031686732780899986
num__pay_amt6,0.031274866294605075,0.031274866294605075
num__pay_amt4,0.030002089924371617,0.030002089924371617
num__pay_amt5,0.028872396600751287,0.028872396600751287
num__pay_2,0.026964508265390166,0.026964508265390166
num__pay_3,0.026956351318101555,0.026956351318101555
num__pay_4,0.017787102842997848,0.017787102842997848
num__pay_5,0.01276339888483538,0.01276339888483538
