threshold,flag_rate,precision_default,recall_default,f1_default,tp,fp,fn,tn
0.1,0.8745,0.24547360396417,0.9706103993971364,0.3918466686948585,1288,3959,39,714
0.15,0.7486666666666667,0.27315227070347287,0.9246420497362472,0.421721945351435,1227,3265,100,1408
0.2,0.6133333333333333,0.3081521739130435,0.854559155990957,0.4529658478130617,1134,2546,193,2127
0.25,0.48966666666666664,0.3512593601089176,0.7776940467219292,0.4839390386869871,1032,1906,295,2767
0.3,0.38916666666666666,0.3927194860813705,0.6910324039186134,0.500819224467504,917,1418,410,3255
0.35,0.31983333333333336,0.44085461177696716,0.6375282592313489,0.5212569316081331,846,1073,481,3600
0.4,0.2733333333333333,0.4817073170731707,0.5953278070836473,0.5325244354566903,790,850,537,3823
0.45,0.23716666666666666,0.5186226282501757,0.5561416729464959,0.5367272727272727,738,685,589,3988
0.5,0.20866666666666667,0.5519169329073482,0.520723436322532,0.5358666149670415,691,561,636,4112
0.55,0.18416666666666667,0.5800904977375566,0.48304446119065564,0.5271381578947368,641,464,686,4209
0.6,0.158,0.5991561181434599,0.42803315749811605,0.49934065934065935,568,380,759,4293
0.65,0.12966666666666668,0.6311053984575835,0.3700075357950264,0.4665083135391924,491,287,836,4386
0.7,0.106,0.6682389937106918,0.3202712886209495,0.43301069791136015,425,211,902,4462
